sequence,seedId,name,normalizedName,mealCategory,mealTypeSuggested,countryOfOriginSuggested,discovery,studentAthleteTarget,mealPrepCandidate,imageSearchQuery,assetMainFile,assetCardFile,imageStatus
25,REC-CAND-0025,Thai Lentil Flatbread,thai lentil flatbread,Main Meal,Lunch,United States,False,True,True,Thai Lentil Flatbread recipe,assets/main.avif,assets/card.avif,not-included-see-readme
26,REC-CAND-0026,Mediterranean Lean Beef with Quinoa,mediterranean lean beef with quinoa,Main Meal,Dinner,Spain,False,True,True,Mediterranean Lean Beef with Quinoa recipe,assets/main.avif,assets/card.avif,not-included-see-readme
27,REC-CAND-0027,Thai Lentil with Rice,thai lentil with rice,Main Meal,Lunch,France,False,True,True,Thai Lentil with Rice recipe,assets/main.avif,assets/card.avif,not-included-see-readme
28,REC-CAND-0028,Chinese Shrimp with Vegetables,chinese shrimp with vegetables,Main Meal,Dinner,Greece,False,True,True,Chinese Shrimp with Vegetables recipe,assets/main.avif,assets/card.avif,not-included-see-readme
29,REC-CAND-0029,Spanish Shrimp with Rice,spanish shrimp with rice,Main Meal,Dinner,Greece,False,True,True,Spanish Shrimp with Rice recipe,assets/main.avif,assets/card.avif,not-included-see-readme
30,REC-CAND-0030,Chinese Sausage with Potatoes,chinese sausage with potatoes,Main Meal,Dinner,Greece,False,True,True,Chinese Sausage with Potatoes recipe,assets/main.avif,assets/card.avif,not-included-see-readme
31,REC-CAND-0031,Blackened Black Bean with Green Beans,blackened black bean with green beans,Main Meal,Dinner,Italy,False,True,True,Blackened Black Bean with Green Beans recipe,assets/main.avif,assets/card.avif,not-included-see-readme
32,REC-CAND-0032,Turkey and Kale Orzo Skillet,turkey and kale orzo skillet,Main Meal,Dinner,Jamaica,False,True,True,Turkey and Kale Orzo Skillet recipe,assets/main.avif,assets/card.avif,not-included-see-readme
33,REC-CAND-0033,Buffalo Lean Beef Salad Bowl,buffalo lean beef salad bowl,Main Meal,Lunch,Japan,False,True,True,Buffalo Lean Beef Salad Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
34,REC-CAND-0034,Cod Taco Bowl,cod taco bowl,Main Meal,Lunch,Thailand,False,True,True,Cod Taco Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
35,REC-CAND-0035,Mediterranean Salmon with Vegetables,mediterranean salmon with vegetables,Main Meal,Lunch,France,False,True,True,Mediterranean Salmon with Vegetables recipe,assets/main.avif,assets/card.avif,not-included-see-readme
36,REC-CAND-0036,Peruvian Lentil Tacos,peruvian lentil tacos,Main Meal,Dinner,France,False,True,True,Peruvian Lentil Tacos recipe,assets/main.avif,assets/card.avif,not-included-see-readme
37,REC-CAND-0037,Caribbean Chicken with Potatoes,caribbean chicken with potatoes,Main Meal,Lunch,United States,False,True,True,Caribbean Chicken with Potatoes recipe,assets/main.avif,assets/card.avif,not-included-see-readme
38,REC-CAND-0038,Moroccan Lean Beef Pasta,moroccan lean beef pasta,Main Meal,Lunch,Jamaica,False,True,True,Moroccan Lean Beef Pasta recipe,assets/main.avif,assets/card.avif,not-included-see-readme
39,REC-CAND-0039,Japanese Sausage Noodle Bowl,japanese sausage noodle bowl,Main Meal,Lunch,China,False,True,True,Japanese Sausage Noodle Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
40,REC-CAND-0040,Sheet Pan Tuna and Kale,sheet pan tuna and kale,Main Meal,Dinner,Thailand,False,True,True,Sheet Pan Tuna and Kale recipe,assets/main.avif,assets/card.avif,not-included-see-readme
41,REC-CAND-0041,Spicy Shrimp Chili,spicy shrimp chili,Main Meal,Lunch,France,False,True,True,Spicy Shrimp Chili recipe,assets/main.avif,assets/card.avif,not-included-see-readme
42,REC-CAND-0042,Blackened Shrimp Rice Bowl,blackened shrimp rice bowl,Main Meal,Lunch,Greece,False,True,True,Blackened Shrimp Rice Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
43,REC-CAND-0043,Jamaican Tempeh with Quinoa,jamaican tempeh with quinoa,Main Meal,Lunch,Greece,False,True,True,Jamaican Tempeh with Quinoa recipe,assets/main.avif,assets/card.avif,not-included-see-readme
44,REC-CAND-0044,Sausage Taco Bowl,sausage taco bowl,Main Meal,Lunch,Mexico,False,True,True,Sausage Taco Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
45,REC-CAND-0045,Tomato Basil Lentil Stew,tomato basil lentil stew,Main Meal,Lunch,Armenia,True,True,True,Tomato Basil Lentil Stew recipe,assets/main.avif,assets/card.avif,not-included-see-readme
46,REC-CAND-0046,Lemon Chickpea with Zucchini,lemon chickpea with zucchini,Main Meal,Dinner,Greece,False,True,True,Lemon Chickpea with Zucchini recipe,assets/main.avif,assets/card.avif,not-included-see-readme
47,REC-CAND-0047,Smoky Black Bean with Carrots,smoky black bean with carrots,Main Meal,Lunch,Brazil,False,True,True,Smoky Black Bean with Carrots recipe,assets/main.avif,assets/card.avif,not-included-see-readme
48,REC-CAND-0048,Coconut Steak Quinoa Bowl,coconut steak quinoa bowl,Main Meal,Lunch,Mexico,False,True,True,Coconut Steak Quinoa Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
49,REC-CAND-0049,Black Bean Burrito Bowl,black bean burrito bowl,Main Meal,Dinner,Italy,False,True,True,Black Bean Burrito Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
50,REC-CAND-0050,Chickpea Skillet,chickpea skillet,Main Meal,Dinner,Philippines,False,True,True,Chickpea Skillet recipe,assets/main.avif,assets/card.avif,not-included-see-readme
51,REC-CAND-0051,Tuna Pita Plate,tuna pita plate,Main Meal,Dinner,United States,False,True,True,Tuna Pita Plate recipe,assets/main.avif,assets/card.avif,not-included-see-readme
52,REC-CAND-0052,Moroccan Turkey Wraps,moroccan turkey wraps,Main Meal,Lunch,United States,False,True,True,Moroccan Turkey Wraps recipe,assets/main.avif,assets/card.avif,not-included-see-readme
53,REC-CAND-0053,Roasted Lean Beef with Kale,roasted lean beef with kale,Main Meal,Lunch,China,False,True,True,Roasted Lean Beef with Kale recipe,assets/main.avif,assets/card.avif,not-included-see-readme
54,REC-CAND-0054,Italian Shrimp Flatbread,italian shrimp flatbread,Main Meal,Dinner,China,False,True,True,Italian Shrimp Flatbread recipe,assets/main.avif,assets/card.avif,not-included-see-readme
55,REC-CAND-0055,Tuna Taco Bowl,tuna taco bowl,Main Meal,Dinner,Spain,False,True,True,Tuna Taco Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
56,REC-CAND-0056,Tempeh Pita Plate,tempeh pita plate,Main Meal,Lunch,Mexico,False,True,True,Tempeh Pita Plate recipe,assets/main.avif,assets/card.avif,not-included-see-readme
57,REC-CAND-0057,Sheet Pan Tuna and Bell Peppers,sheet pan tuna and bell peppers,Main Meal,Lunch,Peru,False,True,True,Sheet Pan Tuna and Bell Peppers recipe,assets/main.avif,assets/card.avif,not-included-see-readme
58,REC-CAND-0058,Japanese Lentil Flatbread,japanese lentil flatbread,Main Meal,Lunch,France,False,True,True,Japanese Lentil Flatbread recipe,assets/main.avif,assets/card.avif,not-included-see-readme
59,REC-CAND-0059,Korean Tofu Orzo Skillet,korean tofu orzo skillet,Main Meal,Lunch,Peru,False,True,True,Korean Tofu Orzo Skillet recipe,assets/main.avif,assets/card.avif,not-included-see-readme
60,REC-CAND-0060,Balsamic Pork Tenderloin with Tomatoes,balsamic pork tenderloin with tomatoes,Main Meal,Dinner,Philippines,False,True,True,Balsamic Pork Tenderloin with Tomatoes recipe,assets/main.avif,assets/card.avif,not-included-see-readme
61,REC-CAND-0061,Crispy Cod Sweet Potato Hash,crispy cod sweet potato hash,Main Meal,Breakfast,Mexico,False,True,True,Crispy Cod Sweet Potato Hash recipe,assets/main.avif,assets/card.avif,not-included-see-readme
62,REC-CAND-0062,Cod and Green Beans Quinoa Bowl,cod and green beans quinoa bowl,Main Meal,Dinner,Spain,False,True,True,Cod and Green Beans Quinoa Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
63,REC-CAND-0063,Roasted Egg Grain Bowl,roasted egg grain bowl,Main Meal,Lunch,Mexico,False,True,True,Roasted Egg Grain Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
64,REC-CAND-0064,Turkey Taco Bowl,turkey taco bowl,Main Meal,Dinner,United States,False,True,True,Turkey Taco Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
65,REC-CAND-0065,Chipotle Turkey with Kale,chipotle turkey with kale,Main Meal,Lunch,Spain,False,True,True,Chipotle Turkey with Kale recipe,assets/main.avif,assets/card.avif,not-included-see-readme
66,REC-CAND-0066,Black Bean and Zucchini Casserole,black bean and zucchini casserole,Main Meal,Lunch,Jamaica,False,True,True,Black Bean and Zucchini Casserole recipe,assets/main.avif,assets/card.avif,not-included-see-readme
67,REC-CAND-0067,Chicken Skillet,chicken skillet,Main Meal,Lunch,Brazil,False,True,True,Chicken Skillet recipe,assets/main.avif,assets/card.avif,not-included-see-readme
68,REC-CAND-0068,Ginger Salmon Orzo Skillet,ginger salmon orzo skillet,Main Meal,Dinner,Brazil,False,True,True,Ginger Salmon Orzo Skillet recipe,assets/main.avif,assets/card.avif,not-included-see-readme
69,REC-CAND-0069,Honey Soy Tuna with Mushrooms,honey soy tuna with mushrooms,Main Meal,Lunch,Greece,False,True,True,Honey Soy Tuna with Mushrooms recipe,assets/main.avif,assets/card.avif,not-included-see-readme
70,REC-CAND-0070,American Chickpea Skillet,american chickpea skillet,Main Meal,Dinner,Jamaica,False,True,True,American Chickpea Skillet recipe,assets/main.avif,assets/card.avif,not-included-see-readme
71,REC-CAND-0071,Spanish Chickpea Grain Bowl,spanish chickpea grain bowl,Main Meal,Dinner,Peru,False,True,True,Spanish Chickpea Grain Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
72,REC-CAND-0072,Cod Pasta Bake,cod pasta bake,Main Meal,Dinner,Philippines,False,True,True,Cod Pasta Bake recipe,assets/main.avif,assets/card.avif,not-included-see-readme
73,REC-CAND-0073,Tomato Basil Steak Soup,tomato basil steak soup,Main Meal,Dinner,Philippines,False,True,True,Tomato Basil Steak Soup recipe,assets/main.avif,assets/card.avif,not-included-see-readme
74,REC-CAND-0074,Sheet Pan Tuna and Spinach,sheet pan tuna and spinach,Main Meal,Dinner,France,False,True,True,Sheet Pan Tuna and Spinach recipe,assets/main.avif,assets/card.avif,not-included-see-readme
75,REC-CAND-0075,Tofu Pasta Bake,tofu pasta bake,Main Meal,Dinner,China,False,True,True,Tofu Pasta Bake recipe,assets/main.avif,assets/card.avif,not-included-see-readme
76,REC-CAND-0076,Pork Tenderloin Skillet,pork tenderloin skillet,Main Meal,Lunch,Philippines,False,True,True,Pork Tenderloin Skillet recipe,assets/main.avif,assets/card.avif,not-included-see-readme
77,REC-CAND-0077,Buffalo Tofu Soup,buffalo tofu soup,Main Meal,Dinner,Japan,False,True,True,Buffalo Tofu Soup recipe,assets/main.avif,assets/card.avif,not-included-see-readme
78,REC-CAND-0078,Crispy Black Bean Casserole,crispy black bean casserole,Main Meal,Lunch,Spain,False,True,True,Crispy Black Bean Casserole recipe,assets/main.avif,assets/card.avif,not-included-see-readme
79,REC-CAND-0079,Greek Sausage Noodle Bowl,greek sausage noodle bowl,Main Meal,Lunch,Korea,False,True,True,Greek Sausage Noodle Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
80,REC-CAND-0080,Honey Soy Tofu Chili,honey soy tofu chili,Main Meal,Lunch,United States,False,True,True,Honey Soy Tofu Chili recipe,assets/main.avif,assets/card.avif,not-included-see-readme
81,REC-CAND-0081,Lean Beef Stuffed Sweet Potatoes,lean beef stuffed sweet potatoes,Main Meal,Dinner,Lebanon,True,True,True,Lean Beef Stuffed Sweet Potatoes recipe,assets/main.avif,assets/card.avif,not-included-see-readme
82,REC-CAND-0082,Sesame Chickpea Chili,sesame chickpea chili,Main Meal,Lunch,Peru,False,True,True,Sesame Chickpea Chili recipe,assets/main.avif,assets/card.avif,not-included-see-readme
83,REC-CAND-0083,Tomato Basil Shrimp Tacos,tomato basil shrimp tacos,Main Meal,Lunch,India,False,True,True,Tomato Basil Shrimp Tacos recipe,assets/main.avif,assets/card.avif,not-included-see-readme
84,REC-CAND-0084,Chinese Egg Noodle Bowl,chinese egg noodle bowl,Main Meal,Dinner,France,False,True,True,Chinese Egg Noodle Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
85,REC-CAND-0085,Coconut Black Bean Casserole,coconut black bean casserole,Main Meal,Lunch,Japan,False,True,True,Coconut Black Bean Casserole recipe,assets/main.avif,assets/card.avif,not-included-see-readme
86,REC-CAND-0086,American Sausage Chili,american sausage chili,Main Meal,Dinner,Philippines,False,True,True,American Sausage Chili recipe,assets/main.avif,assets/card.avif,not-included-see-readme
87,REC-CAND-0087,Spanish Cod Skillet,spanish cod skillet,Main Meal,Lunch,Italy,False,True,True,Spanish Cod Skillet recipe,assets/main.avif,assets/card.avif,not-included-see-readme
88,REC-CAND-0088,Chickpea Curry Bowl,chickpea curry bowl,Main Meal,Dinner,Korea,False,True,True,Chickpea Curry Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
89,REC-CAND-0089,Turkey Stuffed Peppers,turkey stuffed peppers,Main Meal,Dinner,Brazil,False,True,True,Turkey Stuffed Peppers recipe,assets/main.avif,assets/card.avif,not-included-see-readme
90,REC-CAND-0090,Chicken Curry Bowl,chicken curry bowl,Main Meal,Lunch,India,False,True,True,Chicken Curry Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
91,REC-CAND-0091,Sesame Shrimp Curry,sesame shrimp curry,Main Meal,Dinner,China,False,True,True,Sesame Shrimp Curry recipe,assets/main.avif,assets/card.avif,not-included-see-readme
92,REC-CAND-0092,Korean Salmon Tacos,korean salmon tacos,Main Meal,Dinner,Peru,False,True,True,Korean Salmon Tacos recipe,assets/main.avif,assets/card.avif,not-included-see-readme
93,REC-CAND-0093,Blackened Chicken Stew,blackened chicken stew,Main Meal,Dinner,United States,False,True,True,Blackened Chicken Stew recipe,assets/main.avif,assets/card.avif,not-included-see-readme
94,REC-CAND-0094,Sheet Pan Tempeh and Green Beans,sheet pan tempeh and green beans,Main Meal,Dinner,Jamaica,False,True,True,Sheet Pan Tempeh and Green Beans recipe,assets/main.avif,assets/card.avif,not-included-see-readme
95,REC-CAND-0095,Ginger Black Bean Curry,ginger black bean curry,Main Meal,Lunch,Philippines,False,True,True,Ginger Black Bean Curry recipe,assets/main.avif,assets/card.avif,not-included-see-readme
96,REC-CAND-0096,Chipotle Shrimp Pasta,chipotle shrimp pasta,Main Meal,Lunch,Greece,False,True,True,Chipotle Shrimp Pasta recipe,assets/main.avif,assets/card.avif,not-included-see-readme
97,REC-CAND-0097,Korean Pork Tenderloin Chili,korean pork tenderloin chili,Main Meal,Lunch,France,False,True,True,Korean Pork Tenderloin Chili recipe,assets/main.avif,assets/card.avif,not-included-see-readme
98,REC-CAND-0098,Cod Stuffed Peppers,cod stuffed peppers,Main Meal,Lunch,Jamaica,False,True,True,Cod Stuffed Peppers recipe,assets/main.avif,assets/card.avif,not-included-see-readme
99,REC-CAND-0099,Steak Pilaf Bowl,steak pilaf bowl,Main Meal,Lunch,China,False,True,True,Steak Pilaf Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
100,REC-CAND-0100,Shrimp Stuffed Peppers,shrimp stuffed peppers,Main Meal,Lunch,Jamaica,False,True,True,Shrimp Stuffed Peppers recipe,assets/main.avif,assets/card.avif,not-included-see-readme
101,REC-CAND-0101,Sheet Pan Black Bean and Cabbage,sheet pan black bean and cabbage,Main Meal,Dinner,United States,False,True,True,Sheet Pan Black Bean and Cabbage recipe,assets/main.avif,assets/card.avif,not-included-see-readme
102,REC-CAND-0102,Sesame Steak Stew,sesame steak stew,Main Meal,Lunch,China,False,True,True,Sesame Steak Stew recipe,assets/main.avif,assets/card.avif,not-included-see-readme
103,REC-CAND-0103,Harissa Cod Casserole,harissa cod casserole,Main Meal,Dinner,China,False,True,True,Harissa Cod Casserole recipe,assets/main.avif,assets/card.avif,not-included-see-readme
104,REC-CAND-0104,Cajun Shrimp with Carrots,cajun shrimp with carrots,Main Meal,Dinner,Jamaica,False,True,True,Cajun Shrimp with Carrots recipe,assets/main.avif,assets/card.avif,not-included-see-readme
105,REC-CAND-0105,Sheet Pan Chickpea and Carrots,sheet pan chickpea and carrots,Main Meal,Dinner,Italy,False,True,True,Sheet Pan Chickpea and Carrots recipe,assets/main.avif,assets/card.avif,not-included-see-readme
106,REC-CAND-0106,Lentil Fried Rice,lentil fried rice,Main Meal,Lunch,India,False,True,True,Lentil Fried Rice recipe,assets/main.avif,assets/card.avif,not-included-see-readme
107,REC-CAND-0107,Tuna Curry Bowl,tuna curry bowl,Main Meal,Lunch,Botswana,True,True,True,Tuna Curry Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
108,REC-CAND-0108,Mexican Sausage with Potatoes,mexican sausage with potatoes,Main Meal,Lunch,China,False,True,True,Mexican Sausage with Potatoes recipe,assets/main.avif,assets/card.avif,not-included-see-readme
109,REC-CAND-0109,Sheet Pan Lentil and Cabbage,sheet pan lentil and cabbage,Main Meal,Dinner,China,False,True,True,Sheet Pan Lentil and Cabbage recipe,assets/main.avif,assets/card.avif,not-included-see-readme
110,REC-CAND-0110,Chipotle Egg with Mushrooms,chipotle egg with mushrooms,Main Meal,Lunch,Mexico,False,True,True,Chipotle Egg with Mushrooms recipe,assets/main.avif,assets/card.avif,not-included-see-readme
111,REC-CAND-0111,Cajun Steak with Zucchini,cajun steak with zucchini,Main Meal,Dinner,Philippines,False,True,True,Cajun Steak with Zucchini recipe,assets/main.avif,assets/card.avif,not-included-see-readme
112,REC-CAND-0112,Ginger Tofu with Mushrooms,ginger tofu with mushrooms,Main Meal,Lunch,Korea,False,True,True,Ginger Tofu with Mushrooms recipe,assets/main.avif,assets/card.avif,not-included-see-readme
113,REC-CAND-0113,Teriyaki Chicken Grain Bowl,teriyaki chicken grain bowl,Main Meal,Dinner,United States,False,True,True,Teriyaki Chicken Grain Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
114,REC-CAND-0114,Mexican Sausage with Quinoa,mexican sausage with quinoa,Main Meal,Dinner,Thailand,False,True,True,Mexican Sausage with Quinoa recipe,assets/main.avif,assets/card.avif,not-included-see-readme
115,REC-CAND-0115,Cajun Salmon Soup,cajun salmon soup,Main Meal,Lunch,Brazil,False,True,True,Cajun Salmon Soup recipe,assets/main.avif,assets/card.avif,not-included-see-readme
116,REC-CAND-0116,Sausage and Bell Peppers Pasta,sausage and bell peppers pasta,Main Meal,Dinner,Jamaica,False,True,True,Sausage and Bell Peppers Pasta recipe,assets/main.avif,assets/card.avif,not-included-see-readme
117,REC-CAND-0117,Shrimp Stir Fry Bowl,shrimp stir fry bowl,Main Meal,Lunch,France,False,True,True,Shrimp Stir Fry Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
118,REC-CAND-0118,Chickpea Pilaf Bowl,chickpea pilaf bowl,Main Meal,Lunch,Japan,False,True,True,Chickpea Pilaf Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
119,REC-CAND-0119,Thai Steak Wraps,thai steak wraps,Main Meal,Lunch,Italy,False,True,True,Thai Steak Wraps recipe,assets/main.avif,assets/card.avif,not-included-see-readme
120,REC-CAND-0120,Roasted Lean Beef Salad Bowl,roasted lean beef salad bowl,Main Meal,Dinner,Thailand,False,True,True,Roasted Lean Beef Salad Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
121,REC-CAND-0121,Lemon Shrimp Soup,lemon shrimp soup,Main Meal,Lunch,Spain,False,True,True,Lemon Shrimp Soup recipe,assets/main.avif,assets/card.avif,not-included-see-readme
122,REC-CAND-0122,Ginger Tuna with Cabbage,ginger tuna with cabbage,Main Meal,Lunch,Spain,False,True,True,Ginger Tuna with Cabbage recipe,assets/main.avif,assets/card.avif,not-included-see-readme
123,REC-CAND-0123,Italian Pork Tenderloin with Vegetables,italian pork tenderloin with vegetables,Main Meal,Dinner,Philippines,False,True,True,Italian Pork Tenderloin with Vegetables recipe,assets/main.avif,assets/card.avif,not-included-see-readme
124,REC-CAND-0124,Steak Pasta Bake,steak pasta bake,Main Meal,Dinner,India,False,True,True,Steak Pasta Bake recipe,assets/main.avif,assets/card.avif,not-included-see-readme
125,REC-CAND-0125,Sheet Pan Lean Beef and Cauliflower,sheet pan lean beef and cauliflower,Main Meal,Dinner,France,False,True,True,Sheet Pan Lean Beef and Cauliflower recipe,assets/main.avif,assets/card.avif,not-included-see-readme
126,REC-CAND-0126,Mexican Lean Beef with Vegetables,mexican lean beef with vegetables,Main Meal,Lunch,United States,False,True,True,Mexican Lean Beef with Vegetables recipe,assets/main.avif,assets/card.avif,not-included-see-readme
127,REC-CAND-0127,Egg Skillet,egg skillet,Main Meal,Dinner,Brazil,False,True,True,Egg Skillet recipe,assets/main.avif,assets/card.avif,not-included-see-readme
128,REC-CAND-0128,Sheet Pan Sausage and Green Beans,sheet pan sausage and green beans,Main Meal,Lunch,Spain,False,True,True,Sheet Pan Sausage and Green Beans recipe,assets/main.avif,assets/card.avif,not-included-see-readme
129,REC-CAND-0129,Tempeh Stir Fry Bowl,tempeh stir fry bowl,Main Meal,Dinner,United States,False,True,True,Tempeh Stir Fry Bowl recipe,assets/main.avif,assets/card.avif,not-included-see-readme
130,REC-CAND-0130,Italian Egg Flatbread,italian egg flatbread,Main Meal,Dinner,France,False,True,True,Italian Egg Flatbread recipe,assets/main.avif,assets/card.avif,not-included-see-readme
131,REC-CAND-0131,Turkey and Cabbage Wraps,turkey and cabbage wraps,Main Meal,Dinner,Peru,False,True,True,Turkey and Cabbage Wraps recipe,assets/main.avif,assets/card.avif,not-included-see-readme
132,REC-CAND-0132,Sausage Stuffed Sweet Potatoes,sausage stuffed sweet potatoes,Main Meal,Lunch,Philippines,False,True,True,Sausage Stuffed Sweet Potatoes recipe,assets/main.avif,assets/card.avif,not-included-see-readme
133,REC-CAND-0133,Teriyaki Chicken with Spinach,teriyaki chicken with spinach,Main Meal,Lunch,Brazil,False,True,True,Teriyaki Chicken with Spinach recipe,assets/main.avif,assets/card.avif,not-included-see-readme
